,resource_state,name,distance,moving_time,elapsed_time,total_elevation_gain,type,sport_type,workout_type,id,start_date,start_date_local,timezone,utc_offset,location_city,location_state,location_country,achievement_count,kudos_count,comment_count,athlete_count,photo_count,trainer,commute,manual,private,visibility,flagged,gear_id,start_latlng,end_latlng,average_speed,max_speed,has_heartrate,average_heartrate,max_heartrate,heartrate_opt_out,display_hide_heartrate_option,elev_high,elev_low,upload_id,upload_id_str,external_id,from_accepted_tag,pr_count,total_photo_count,has_kudoed,suffer_score,athlete.id,athlete.resource_state,map.id,map.summary_polyline,map.resource_state,average_watts,kilojoules,device_watts
0,2,Morning Run,3045.6,890,904,27.6,Run,Run,0.0,8813461457,2023-04-01T12:20:15Z,2023-04-01T07:20:15Z,(GMT-06:00) America/Chicago,-18000.0,,,,0,23,0,1,0,False,False,False,False,everyone,False,g12676585,"[30.283936439082026, -97.73739675991237]","[30.282539511099458, -97.74176985025406]",3.422,4.373,True,163.0,176.0,False,True,172.8,154.4,9457797219.0,9457797219,C6511F98-85D4-462A-AAB0-56B80619FC37.fit,False,0,0,False,22.0,50715143,1,a8813461457,qyywDvipsQa@DqAE{FYc@GaG[k@Ki@GyBMgCKiAMKICG?c@b@sHHk@LIt@Ip@Ux@g@|AqAh@a@ZMd@IlEA|@Dv@F|@PtDd@tBRdAFZA\Cp@Qj@Yx@o@j@[r@Uj@Gr@?^B\Ht@\h@d@b@n@N^Jb@Jp@RtCRjABRW|Ag@~Ba@xC_@jBMb@GHIB[DoBEg@CSCMM_@m@q@mAK]GIMCiCCOFEJEVS~EC|A@b@BJLHjCNPDHJJ`@@h@K|G?PDN,2,,,
1,2,Morning Run,4901.5,1481,1481,0.0,Run,Run,0.0,8807902559,2023-03-31T12:22:54Z,2023-03-31T07:22:54Z,(GMT-05:00) America/Atikokan,-18000.0,,,,0,20,0,1,0,True,False,False,False,everyone,False,g12675441,[],[],3.31,4.084,True,163.8,173.0,False,True,,,9451952589.0,9451952589,E81EA79D-B3DB-498B-A9C7-8FF6E3F43B86.fit,False,0,0,False,37.0,50715143,1,a8807902559,,2,,,
2,2,Afternoon Run,11709.2,3365,4261,129.6,Run,Run,0.0,8805808141,2023-03-30T22:50:51Z,2023-03-30T17:50:51Z,(GMT-06:00) America/Chicago,-18000.0,,,,1,36,0,2,0,False,False,False,False,everyone,False,g12675441,"[30.280922139063478, -97.736063785851]","[30.28118072077632, -97.73638380691409]",3.48,5.704,True,163.7,174.0,False,True,187.0,153.6,9449757752.0,9449757752,E7875487-82C5-47CE-8673-E774B842A09D.fit,False,0,0,False,83.0,50715143,1,a8805808141,wfywDlapsQ}Br@a@|BIXQN}@\c@Nw@N]Dm@@q@EmBUQESOY|@mCg@iAQkAEoBBmCKk@E{@O{C[mC_@u@OUMO[AI?YRkCDuDLmEFeAD_GAa@MyA@eADo@ZoBTw@Zo@Za@`A_A\g@P]n@}AjAuDn@}ALo@Do@RsAVu@p@}Ch@yAr@}A~AoCzBsDx@eAjA_ARYZo@N_@LyACy@Ig@Qy@I{AUwC_AoIa@uFc@qEKgBUiBGcBMs@W{BM{Ci@gEMgBCsAKaAYqDOcAo@sGEu@Rk@Sk@AWY{A]eE]gDIa@}@qHW_AU_@m@}@EKAI?IHItAs@p@Qt@]f@M|@CNQTe@HEF?JBrCdAh@Pt@Z~AL~CBNBJNDhBTzDf@nED|AHt@XnB^dD\`FLbAX~DLl@PtBLR@JLvALn@TrBLjBBpAR`D@nBHnBF^TdANnALhBZlDZpCJxAXpCZbF^jBTnBd@hHN~@Z|Dn@pFTjCb@jEPjDX~CAb@JbA@dAH~@?rAJp@LtADfA?nAEv@i@nFAH[b@IT@TALMv@Sx@Aj@]nCo@tDe@tBQfAa@rE[vBIv@[nB]nAU^Qd@}@dFc@fBc@dCo@hB_@pAWLa@BwBSuECeFSaCEgKi@[?SNSDq@@YC_Dk@kBQMGEGAWLeABi@@_BC}ABq@TqCb@uHD[@GFETCjBAvER|AJ`FFdGj@p@?dADnA?jE^lAD|@I^IHEHQ@KHiBDe@JMh@AVC,2,,,
3,2,Afternoon Run,12102.3,3592,4531,96.6,Run,Run,0.0,8800410451,2023-03-29T22:52:25Z,2023-03-29T17:52:25Z,(GMT-06:00) America/Chicago,-18000.0,,,,3,43,2,6,0,False,False,False,False,everyone,False,g12675441,"[30.28134542517364, -97.73584845475852]","[30.280803786590695, -97.73588290438056]",3.369,7.654,True,159.4,173.0,False,True,192.8,154.4,9444069136.0,9444069136,58B98EE0-F1A8-42BF-B965-7FBB5145BAEB.fit,False,0,0,False,75.0,50715143,1,a8800410451,kiywD``psQULGJc@vDGx@CFQJu@F]J_@N}@Hq@@{@EcCSm@OECCGRD|@`@^DJDFJBJ?d@GlCAfD@RDFLB`BDrI`@NEDGFcAb@mClAwF\kAX_CLuB[aAOsDGe@I_@k@eAUUWSc@Uq@Sm@As@Hk@LgA`@{@h@e@Rm@Ps@Fm@CqC_@sC[kDWk@AyDBgAHUJ}@l@g@j@g@`@_@V{@\cAJWJI|EMr@@xACFWVyCEgCUkBEkBOsBGQG[O]e@kBkBm@u@WSG?[HUP_@t@q@hA{@hAs@t@OJMDOBICqBeAgGiDaEsBeLkGo@i@qCgBwCcBqAo@m@Ow@c@}BcAkAo@qAk@wC}A[SoAm@mAy@yBoAqBaA{@k@E??BHJh@TvAr@jCzAv@ZpCfBzBbAlC`BvBhAvAn@tC`AfAh@VRb@f@|@p@lBhAn@f@~BhAr@b@jDfBnAr@hDzAxCzAbB`AlB`AzAn@z@f@`@\h@TLBLAn@a@dAsArAsBNKH@NDv@n@ZPPFl@FtAAZ@NBFH?HGj@Ez@CjBBNV@hBMbA?HBPNH@`AEt@Bj@HNJBH@RS|CI`@MLW@UAaBSwDYw@ASDGNGh@D|BDNDBL@|@IhAAzCFhAH\Jf@IX?b@DtAZr@H~BLt@@HCBI?_CBa@N}@BwACyBHwDCc@EIQCqFIgBQ]IGICUTcCLyDHs@JK~@Ib@KXKf@YtB_B~@[tAQxAEhC?jBTLJBH@XGZUl@EX?JBXDJJHH?DGBSCsAF}@LSFCR?bDHzCXPHHL?ZYpIUpEAJKH_A@AHJj@TGRQPa@Nq@FcCLuBFeDPiBHUHIbAa@~@k@LCr@Al@Sz@QRAb@@b@F^Nx@h@VZRh@F\CJILMBmAIuAwAEKxAbAPTM?UUS[EO@GF?|@x@DNUKkAkACIf@^l@l@DH?HG@QEs@y@MQf@Xb@b@h@bAPh@DX?NMRYT[N]HK@}@KGFEPB\HNRJlB^,2,,,
4,2,Afternoon Run,10584.7,3053,5063,106.2,Run,Run,0.0,8794789152,2023-03-28T22:54:01Z,2023-03-28T17:54:01Z,(GMT-06:00) America/Chicago,-18000.0,,,,1,42,4,2,0,False,False,False,False,everyone,False,g12675441,"[30.28164491057396, -97.73664188571274]","[30.28181833215058, -97.73465688340366]",3.467,7.958,True,162.9,199.0,False,True,172.6,154.4,9438147623.0,9438147623,9F1EC4D5-CD8A-4D5E-AE9A-933B8B6C8F5F.fit,False,0,0,False,73.0,50715143,1,a8794789152,gkywD`epsQOnB{B\iAVo@Fi@AmD_@KMAI?w@KTa@nAi@AqBUcFMwBW{EU{Da@yA[EILaB@cBDsBLiAz@It@Wx@g@`BuAdAm@RIpAKhCBhAAf@DnCl@XEdAVVGz@DZH|@@vC[jDqAr@Of@ADFA^Kh@[~@QdA@VFPx@r@_@[SUNZJJdAx@HBj@BPCf@QRW@OEa@Ke@Q]gB_Bi@MOAa@HQJKNBtBFTLLf@Zt@X\HbAGTSDUAM_@gASYkAeA]Ou@AEBGP[\CN@j@H^zBdBVHdAGPIRYDOAYMa@O[oAoAe@Ww@EYFURGRDp@C\DTfA|@~@n@\BTA\IPMFMBQAOYiAOSsAsAYMQ?q@HG@UXB`@ApAJXrBhA\Hd@CZKX]DOCYYs@y@eA[WYOk@Ce@Bc@TKRAZ?f@JTzBhBXLv@AZMN]BWGc@Og@SYu@y@[U[Im@?WFKJKl@Er@HXtAjAt@`@^@f@GXMJU@OASKc@O]Y[oAgAWMsALGDSb@EVA\Nf@R`@r@f@dAd@r@Bb@KNMFQ@a@Sw@Ya@iAiA]Oy@Aa@NSf@D|@FTfBrAl@\x@EZKHMBUAOM_@Se@a@m@o@m@OMYKg@EQFGJMFGVGr@?TFXpB`Bb@Pv@EZKLOHa@?OIW_@q@_ByASKSC{@HIFG^CxA@TJRzAbAd@Nh@@^IRMFMBQC[W{@_@i@g@g@]YYKe@@g@HUTCF?nABLDJnBxAXJ`@@d@EVMLS@YEc@Ug@aByAm@UK?u@`DnBbB^NZ?`A[JMB[Kc@_@y@IO}AmAMGc@Ka@B]PILAfACTJTbCpBJDN?\Md@GPQ@s@YgA[]qAaAe@O]BOFQXQhADd@zAvAv@h@T@b@If@SHQB[CWc@kAgBwA]Kk@B[RIrA@l@BHl@b@|@x@`@NLAdAYPODO?]]sAs@u@{Am@WCOB[PEHM~@?f@DNpC~BP?`@Gb@OHKFQA]c@yAgBwAa@Oy@FQJINGNA\L|@FJrAlAv@h@R?x@SPOHQBSCUa@iAUWsAcAc@OU?QDQNGPG`@A\Bj@DJxAnA|@^P?d@KVOHQBYAS_@aAUWsAgA[My@JUPCRA~AJ^`Af@r@f@ZHfAWNMFO?MCSo@yA_BgA_@OU?SDMJKNIdBDJLJ,2,,,
5,2,Afternoon Run,11506.7,3437,4760,78.6,Run,Run,0.0,8788909937,2023-03-27T22:50:23Z,2023-03-27T17:50:23Z,(GMT-06:00) America/Chicago,-18000.0,,,,12,43,0,3,0,False,False,False,False,everyone,False,g12675441,"[30.281383646652102, -97.73600771091878]","[30.280453506857157, -97.73648866452277]",3.348,8.16,True,162.4,185.0,False,True,168.4,131.6,9431969568.0,9431969568,AEA58B3D-170D-480D-8907-FCD4F7B60932.fit,False,9,0,False,78.0,50715143,1,a8788909937,siywD`apsQALQ`@GVMtAMjACPGBa@L]BeARuAH}ACUCMMEq@AGEEUEm@CQGEHGx@RLPD|BFlCNLBTp@LVl@dARXFDpADzB@FABETs@F?ZJnAXxBv@zATzBh@|ARz@NvBl@FDRd@NFPTd@XzDjAZLJHb@h@JPBHCXM`A@TNNRNf@NND\@JANGLMBIDu@FSLQRCF@`@Xd@R|@T^Hx@JjACfANp@DlAPvAH\DhAZjAFv@RzAd@|Bn@vHjBx@LPPf@VpAb@vA\zAPdHhBrAVd@Fz@\pA\xAt@n@ThD`AtEjAZJ`@PBCEm@eAQk@Eu@SQAIBIn@]dAS~@YbBEt@_@~AMt@KNcAl@UVOZOfAMd@KR]Tc@f@Wb@O`@On@C\K`@yAvFEXAz@ERWh@q@bAOZCNGp@KxDBl@VhAF^?XMp@_@~@Uz@OZOv@KVGJQJY?SEs@[e@WmBwAmAwAECI@KJAHDPJFPFJE?MGGOBEF?DHB\gAXuA`@qDDaCVgBNYh@]TUX_@R_@n@w@z@sC\}ABWIQMK]KMIEUBe@n@{CRm@j@yA`@sAXaDVqAdAoCn@uBF_@B}@EISG[?c@OeAOqC_AgCo@}Bs@yA_@k@U_Bw@sA_@cAq@_@Oe@KS?m@GoB_@{C}@iB_@mCo@{C_AuC[w@MEAs@J_BOk@Kc@Ky@a@YDKDMXMj@SXi@HYA_@KYQUc@?c@LaAAWEIg@m@mA_@}A]m@I]KGCUUWMeA]wCuAc@OmFkAuEoAQGEK@c@X_BZuAD_@?YCQSs@E_@oEnAKDQRIPCZA|@KLIDOBk@@a@JwA@}@EeCOkA?YC@It@]@LHPTHpEVzA@JATQFA^Cb@BPIDKHuBJm@HEv@C\G~@u@TP~@zAFAl@uC@MAS_@aAq@w@mAyC[S{@w@KMd@RPNPTDJ?DeAu@CG?OFALDJHf@`@b@b@BFM?mAeAKKCQjBzABDCFG@I?QSo@i@CO@E\Vv@t@@DABC?MGs@m@KMGMAONP`Av@JP[Cy@y@OU?EH?xArADLCDkBeBGIB@j@f@bAt@@FE@OE}@y@u@c@IIAKFIF?D@JP|@p@t@v@\~@VvAFRHPXRf@dADX?XKtAObAGJGBG@KCKMAaA,2,,,
6,2,Afternoon Run,6465.8,1991,1992,103.2,Run,Run,0.0,8783103648,2023-03-26T20:12:48Z,2023-03-26T15:12:48Z,(GMT-06:00) America/Chicago,-18000.0,,,,0,39,3,1,0,False,False,False,False,everyone,False,g12675441,"[30.23031748831272, -97.7805928979069]","[30.23022268898785, -97.78057931922376]",3.247,4.144,True,155.2,171.0,False,True,211.8,178.2,9425877369.0,9425877369,95602201-4DC5-42AA-9AFD-7FF734ED1730.fit,False,0,0,False,31.0,50715143,1,a8783103648,mjowDvwxsQE@i@?CIAWB_@DSN[@MECs@F_@Cm@@UCoB{@o@Qc@_@MYYuAIQc@q@Um@Ik@Ac@Gq@@QDOLIhFc@r@?^CfAEfAMNG@KGe@Ae@Dg@H]hHiRR{@`@{@r@mBNk@?QcHwD{DqBo@g@cDeBi@c@iAi@oDsBWIKBUx@k@tAUb@ODi@[g@I}BeAwCoAgGwCsAk@aFaCyTiKc@MWEeABg@EWGAEBCBAl@HtAA\D^LhKzExMpGzB~@pDhB|CvAnChAfD~AF?DGrAwDBCHAND|Av@dKvFf@RfFtCPLV`@TPlBfAt@d@BHETaBrE_CdGwClHk@~AKd@CZ?`@Dt@AHKHyAPc@N{Hr@MBKLALFv@N~@N\b@x@FTR`AVb@`@Z^LbCfAN@h@Cd@Bd@?JJ?J]fACXBTHNDBPBNITc@,2,,,
7,2,Afternoon Run,16123.4,4736,4959,102.4,Run,Run,0.0,8776656095,2023-03-25T18:09:59Z,2023-03-25T13:09:59Z,(GMT-06:00) America/Chicago,-18000.0,,,,7,47,0,1,0,False,False,False,False,everyone,False,g12675441,"[30.271962974220514, -97.76542827486992]","[30.27151856571436, -97.76463593356311]",3.404,4.862,True,174.6,183.0,False,True,148.4,132.0,9419038544.0,9419038544,384C9BFB-D712-4FB8-BC11-CE1314338C5B.fit,False,1,0,False,172.0,50715143,1,a8776656095,wnwwD|xusQb@s@LiAl@QR@`BlCJ`@?x@Kp@Sr@oAxC{BlGUX[NiADpACDDH^C^i@l@]FyE_A]AOHoBhDuBxCOr@@RHNrAt@lBp@vB`Bv@\ZGxA}@fA[XUbDyF~BsCpAgB|@mBlBuGZiCf@eAn@aATm@t@iEVkCjBqGN_@x@kARQTEPJfA|BdAfCX|@zBjEd@xA?f@j@l@L\NfA^^NXp@|CPtALhFHjACTGUYDGNN|@H`DTfAFfCT~ABrEK`Bl@rIC`AFf@?~@Np@R|BRpARtDTpALvAXn@Nn@\p@XdCXbAT~AbBbFhAtG\fBiByJiBwFU_BUs@W_C_@u@Mo@[{@Ci@]cCK_CO}AK]SaCQ{@A{CQoBYsEHqBCyCDo@[wBGqCS_AGmCMiAHGVEHUOgCGcD]wBc@qBOYe@a@OuAs@u@_@y@_@qB@QbAq@DSs@_ByEgMGc@@k@~A}ER{Ap@wAbBuE\k@j@gC`@m@x@mBPi@\oB^a@j@UNWFWA[Ik@Qk@Im@PuEHg@Le@dAqBJc@HiAfAsDt@cDb@}@lAqA`@qBRk@|AqA@i@h@aDt@yC\y@XcBj@sAb@o@fAiAbC_BrCw@dAc@xCc@pBKnC[nEK\I`@a@ToA\k@x@]pA{@hAe@^a@l@WnBeBXKt@IRKpBgCVcA`@eALw@l@_A`@qAA}@Fa@rBsFXgBRY|@k@P[K?m@V_@d@Uv@KpAy@pBaApCCR?lAk@xAc@j@ObA}@fCiBtB[NeAT{BhByC`BcCxA[h@WjA]^a@JaBCwNpAmAh@aB^_A^eCfBu@v@k@z@m@pA_@jBSh@{@nDEf@WdAItAiAt@UX]lAObA]h@`@S\Ax@v@fBj@Jz@ATkApB_@~@{@z@w@XMPGV@z@I\}CdH_AbCgAfDq@zAMj@]|@Gb@[z@QfAGHOBGGi@gAa@k@gC{B_AgAOGQL?RHLR@JOCUOGK@KL@r@O|@Er@Wr@_@`Bw@lBgAjDi@tAa@~@y@tAe@rBu@|AsAhDeAbDE\DnAGn@g@`BU~Aa@zAUvAu@jCgAxBc@j@{AzDsA~A_A`CW|@UPQBYORKDU\u@h@}Av@eBlAmD`@qAHc@?e@O}@eBkC,2,,,
8,2,Evening Run,666.2,184,196,4.8,Run,Run,0.0,8771829712,2023-03-25T00:22:40Z,2023-03-24T19:22:40Z,(GMT-06:00) America/Chicago,-18000.0,,,,0,13,0,2,0,False,False,False,False,everyone,False,g12676585,"[30.269802873954177, -97.71079670637846]","[30.269423592835665, -97.71017426624894]",3.62,7.144,True,162.0,177.0,False,True,159.6,154.8,9413879644.0,9413879644,8DEC4977-2029-4C33-9D76-36FA583F0365.fit,False,0,0,False,4.0,50715143,1,a8771829712,gawwDncksQV@LAPINMHQD_@AWKUGKUOaD_BWC\HzCvAPLNNFRO]UQ}C{AWIQ@T?PFtCrAVPLL,2,,,
9,2,Evening Run,11547.6,3214,3922,72.4,Run,Run,0.0,8771834708,2023-03-24T23:11:20Z,2023-03-24T18:11:20Z,(GMT-06:00) America/Chicago,-18000.0,,,,6,32,0,2,0,False,False,False,False,everyone,False,g12676585,"[30.269990041851997, -97.7106509450823]","[30.269822906702757, -97.71079075522721]",3.593,8.522,True,175.3,201.0,False,True,159.0,155.0,9413884891.0,9413884891,D743CD85-18E5-4ECC-AB00-4FE0C412484C.fit,False,2,0,False,111.0,50715143,1,a8771834708,mbwwDrbksQh@RZ?PINOHS@]EUGQQMgDcBUCSBQHKNGVCTDZJPXR~CzAPBL?PGHGPYDYEa@KUSOqCsA_@MK?SBQLMVET?TDRJNRPbD|A\BJCPKNUDWCc@KWWQeD}ASAK@SJOTGV?TFVFJXRrCtAPFT@PEHGLQHY?YGUOSaD_B_@KM?SFIHMRELAVPp@KT@BTFX@NBp@TpAh@N@PAJGRSHU@SAUO[[UcCkA[KSA[JKHIRE`@F\HPVPhB|@j@VRFR?JEPKHMDKBc@CUSWgCqAk@WMAQ@WNKLEVATDTNVTN|CxAN@VCPINWBUA_@ISGIOKsCwAYIKAQ@WNMRKd@WT[f@DMFE`@?XFtDhBSKb@LL?RGLGLQHc@CUO]WQgB{@q@[OCK?QBWPIPCN?\FTNRnCrAh@RR?HCVOFMFUA_@IUGI[S{CyAQAUDOJKPEJA\BRNVZRxCtAPBXGLINYBOAUCMMW]SeCoAUIW?SDIHMTER@ZDLLRjDhBNDWK_@SDD^Ps@[BA\RCAd@NJ?^KRWDS?_@EOMQ}BkAm@YMCKASBUNKPE\@NFXLNpDfBT@VCRUFOBW?MEUSW{C{A[MY@MDONGJERA\FRFJTPfD~AVBZMPWDO@WG_@MQUOiCqAYKQAWDQNIPEV?TDVHLRNdD~AP@ZGLIJQDMBWI_@IOe@[mCqAWCQBUNKPGZ@THZNNlDdBXBLCTMJSDM@WEYKU[SmCoAWKS?WHSZET?RH^HHNLfD|APBXGLKHMDM@WGa@IMWS_D{AQCSBOHOTGP?^FRJPjAn@|At@JDA@c@Ub@PX@VINOFKDc@CQKSII]U}Aw@e@WUEKAQBWNIPGR?TBRNXVNzCvALBXAPKPUFe@CSOY]SyCyAOAYBSPGJERAXDRLTXRzCvAR@VEVWH]?QGWOUsCyA_@QUAOBQLKNGXAPDTJTLJ~C|A]On@TJ?^KNOHW@YAQISc@[uCuAKC[@OHSTERA\BNJRTR~CzAZDLCZQL]@QCWM]]UuCuAQCYBOFOTGR?\JZHJPLhCnAZJJ@RAVOFMHg@CWMQWUeD_Bz@nEe@S}@q@UYGSA[BSJUTQVCTB~CxAVTL\@XEXQVIFQFK?QAcD{AOIMMIUCW@_@JUPQPITARDpDfBPZFXC`@IXSPQFW@MAmDcBWYGQA]?OHUTY`@KRBhD~AJFLNFJFb@AVKXSRQFW@KAsDgBQUIUAe@BMHQLQTIVCRDpDfBLRFTBNCb@MTQPQFW?KCiD_BQOMQGc@@SL_@LO\K`@BhD`BNLPb@@\GXSZSJWBSC,2,,,
