,resource_state,name,distance,moving_time,elapsed_time,total_elevation_gain,type,sport_type,id,start_date,start_date_local,timezone,utc_offset,location_city,location_state,location_country,achievement_count,kudos_count,comment_count,athlete_count,photo_count,trainer,commute,manual,private,visibility,flagged,gear_id,start_latlng,end_latlng,average_speed,max_speed,has_heartrate,average_heartrate,max_heartrate,heartrate_opt_out,display_hide_heartrate_option,upload_id,upload_id_str,external_id,from_accepted_tag,pr_count,total_photo_count,has_kudoed,suffer_score,athlete.id,athlete.resource_state,map.id,map.summary_polyline,map.resource_state,workout_type,elev_high,elev_low,average_watts,kilojoules,device_watts
0,2,Evening Swim,2103.1,3397,3187,0.0,Swim,Swim,6236774021,2021-11-10T00:32:45Z,2021-11-09T18:32:45Z,(GMT-06:00) America/Chicago,-21600.0,,,,0,14,0,1,0,True,False,False,False,everyone,False,,[],[],0.619,4.572,True,162.1,188.0,False,True,6628180041.0,6628180041,6ABFAC3E-7DDA-48EE-A5EB-1A60E0876D38.fit,False,0,0,False,117.0,50715143,1,a6236774021,,2,,,,,,
1,2,Evening Run,1631.1,439,442,4.2,Run,Run,6232183650,2021-11-09T03:41:31Z,2021-11-08T19:41:31Z,(GMT-08:00) America/Los_Angeles,-28800.0,,,,0,7,0,1,0,False,False,False,False,everyone,False,g9203768,"[32.89037740789354, -117.24072673358023]","[32.883306266739964, -117.23391467705369]",3.715,5.704,True,168.9,175.0,False,True,6623288682.0,6623288682,FB93D048-577E-46B1-9C03-0386BE81DDF4.fit,False,0,0,False,13.0,50715143,1,a6232183650,y{vgEpqqjUz@KfDK^GNGRg@Hq@D{@C{CDUBEFEXE\CzDIrJ[fFIjC@ZANELc@VaCfAoEV_BBe@?e@MaBAo@@k@Fq@Je@Vs@Zk@~@yAb@{@IAg@J_A\s@f@iAfA,2,0.0,130.8,101.5,,,
2,2,Evening Run,2436.0,710,714,29.8,Run,Run,6232183685,2021-11-09T02:43:26Z,2021-11-08T18:43:26Z,(GMT-08:00) America/Los_Angeles,-28800.0,,,,1,8,0,1,0,False,False,False,False,everyone,False,g9203768,"[32.8830661252141, -117.23360949195921]","[32.89072290994227, -117.24070686846972]",3.431,4.54,True,172.2,181.0,False,True,6623288716.0,6623288716,2096D02F-5E05-4B14-86F7-32BE7F96AA0E.fit,False,0,0,False,24.0,50715143,1,a6232183685,cnugE`epjU~@s@j@Yv@Qp@GFBh@p@fA|A\z@VhANtALrBAJlBbCELR~CLp@N^FFXFpBBp@H`@\^^dArA\h@BHAVQhBAzABv@TvA?ZCJGFKFU@{AIaCDyBE}AJk@@}DQ}BHs@?}EQaBCwHL}CJgGJw@E{A]u@Eo@?sGP,2,0.0,134.9,104.4,,,
3,2,Evening Swim,2011.7,3354,3050,0.0,Swim,Swim,6204458964,2021-11-02T23:37:32Z,2021-11-02T18:37:32Z,(GMT-06:00) America/Chicago,-18000.0,,,,0,15,0,1,0,True,False,False,False,everyone,False,,[],[],0.6,4.572,True,156.8,184.0,False,True,6593530997.0,6593530997,F421EB37-A5CF-4362-8C7B-780BBBC2505D.fit,False,0,0,False,97.0,50715143,1,a6204458964,,2,,,,,,
4,2,Morning Run,18743.2,3207,3408,85.5,Workout,Workout,6193535314,2021-10-31T14:20:07Z,2021-10-31T07:20:07Z,(GMT-08:00) America/Los_Angeles,-25200.0,,,,4,22,0,7,0,False,False,False,False,everyone,False,,"[33.616215, -117.895158]","[33.617675, -117.891618]",5.844,15.94,True,178.5,201.0,False,True,6581843225.0,6581843225,F8D5B258-66BE-49B7-9930-7DD259F3E6E0.fit,False,4,0,False,130.0,50715143,1,a6193535314,itdlEvkqnUQg@AW`@aA@Y{@}AaAe@c@cA[u@Oq@C_BCKa@Uu@cAWq@uBp@W?\m@^a@TOGHI@n@eDB_@EKo@g@w@]}@WoAM}@?cAJoE~@yAP[Cu@a@gA{@sCqCcAkAO]c@iBe@uFM_@OUcAmAuCwC{CuDiA_AgAg@wA[{AKyAFyA^iAl@u@p@q@z@oBbD]X[Ja@IkAy@aAg@sBk@yBc@gC[wBKs@DcB|@kKvHcB`Ai@HiBGkEk@_Ju@wAS[KQKe@u@}BoEwBcDyC}DeAgAo@i@o@[YEyAMyEOw@K]Me@g@o@cAu@iB_@{AYiB[qD@_@Pq@`CmHj@{B^iBL{AT_GZ_GDmGD]Pa@l@e@NEVNrBfCfA~@vLzG~FhGhCbBdDjBhAj@~@ZjBZ|BFrCQs@MuE_@iBYyBm@mBy@sBiAgBmAmHkHwIuEmCkBg@c@OSsFuNwC}DqAmB^z@j@bAjDrE|@rA`@|@Tn@Hb@Hv@@n@Er@g@jDS|B_@dH[vISvBSpA]~Ag@fBwAdE_@`BAb@VxB\vBZrA`@lAXp@`@n@t@~@TLnAJpHJ`@Hn@^t@n@bClCdCfDrAxBdBvDz@xAfBTdRdAtADXERKdAq@hDoCzEiD`B}@j@SxAF~ARhH|AjAb@l@^fBbBJGD_@xCsFz@cAhAy@pAa@xAIxAHnBf@nAl@r@l@t@|@jAlBr@`A`FrENTJj@Hx@NtCLpATx@Zf@h@h@rFrEv@`@TFZA~AQfFgAv@CfAL`AV`A\z@f@BHGHSp@m@hBCNWZYl@QhASzLB|EE|DJlAV`ARPjBjA|@tARRp@OxAi@rCwAzCmAz@g@Zk@^}@jBiGF_AHwC@iAKqA]oBc@{As@wAkAkBgAaAv@Tn@`@l@j@`CfCZLJg@DsAJk@Xe@n@g@a@^_@p@On@StAELIHk@_@aBoBk@m@u@g@m@OP\xAlBv@zAbBxENj@Ft@EdBWtCMv@W`AmBxFYr@q@b@_A`@yDrAqCpAu@RICKQ]iAU]YSiAk@a@]Qy@GeBByEAkCBg@FMRB^RjBlBj@`@f@Tz@TtAHfARb@BfAMz@Wl@cBR_AFm@DqA?aAGy@M}@[cAw@wAY_@]Uc@QwAUuACkDRGACU,2,,37.1,0.7,,,
5,2,Evening Ride,0.0,1235,1235,0.0,Ride,Ride,6189518343,2021-10-30T23:01:44Z,2021-10-30T18:01:44Z,(GMT-06:00) America/Chicago,-18000.0,,,,0,10,0,1,0,True,False,False,False,everyone,False,,[],[],0.0,0.0,True,164.6,178.0,False,True,6577553071.0,6577553071,FE75869D-B274-47E8-BB56-76614A479184.fit,False,0,0,False,33.0,50715143,1,a6189518343,,2,10.0,,,,,
6,2,Afternoon Run,1606.1,410,410,4.0,Run,Run,6189518393,2021-10-30T23:23:08Z,2021-10-30T16:23:08Z,(GMT-08:00) America/Los_Angeles,-25200.0,,,,1,16,0,1,0,False,False,False,False,everyone,False,g9470555,"[32.88524357602, -117.24052699282765]","[32.88305045105517, -117.2335875313729]",3.917,5.862,True,181.6,190.0,False,True,6577553105.0,6577553105,80C13A63-7C06-478A-928F-6C94533F5902.fit,False,1,0,False,19.0,50715143,1,a6189518393,w{ugEhpqjUoAPmAF{CD{GR[ASEWOIKISESC]DwA?iBBg@LS\U^Ml@IhFMxHYrBA|CFh@C`@IJc@VuBlAoFRyABo@Ak@SsBO_Ag@yAE[@QH[j@aA,2,0.0,134.9,101.1,,,
7,2,Afternoon Run,1599.1,428,431,29.7,Run,Run,6189447299,2021-10-30T22:52:44Z,2021-10-30T15:52:44Z,(GMT-08:00) America/Los_Angeles,-25200.0,,,,0,15,0,1,0,False,False,False,False,everyone,False,g9470555,"[32.883049780502915, -117.23352969624102]","[32.88565596565604, -117.23973926156759]",3.736,4.73,True,171.7,183.0,False,True,6577476742.0,6577476742,1232E795-D45D-4B35-B29D-9ABDBEBBBCA2.fit,False,0,0,False,14.0,50715143,1,a6189447299,_nugEpdpjUx@g@p@[j@Mt@EH@HFz@`Ab@n@\v@Rr@N~@HbAJvBd@p@fAtABJAJNlBX`GHn@f@hBFh@LlCLnA?b@A^GDK?e@L[DqDFoDGmCBgFGaEBaAEk@EQKQqAOwA,2,0.0,134.9,104.9,,,
8,2,Morning Swim,1005.8,1800,1800,0.0,Swim,Swim,6183668603,2021-10-29T16:00:53Z,2021-10-29T11:00:53Z,(GMT-06:00) America/Chicago,-18000.0,,,,0,10,0,1,0,False,False,True,False,everyone,False,,[],[],0.559,0.0,False,,,False,False,,,,False,0,0,False,,50715143,1,a6183668603,,2,,,,,,
9,2,Evening Activity,0.0,2700,2700,0.0,WeightTraining,WeightTraining,6181356420,2021-10-29T02:21:41Z,2021-10-28T21:21:41Z,(GMT-06:00) America/Chicago,-18000.0,,,,0,14,0,1,0,False,False,True,False,everyone,False,,[],[],0.0,0.0,False,,,False,False,,,,False,0,0,False,,50715143,1,a6181356420,,2,,,,,,
